state,pincode,year,quater,registered_user
assam,781028,2018,q2,5010
assam,781032,2018,q3,13555
assam,781022,2018,q3,10377
assam,781001,2018,q3,10057
assam,785001,2018,q3,8633
assam,781038,2018,q3,8582
assam,783380,2018,q3,8312
assam,781011,2018,q3,7916
assam,786001,2018,q3,7732
assam,781028,2018,q3,6759
assam,781009,2018,q3,6651
assam,781032,2018,q4,17802
assam,781022,2018,q4,13976
assam,781001,2018,q4,12969
assam,781038,2018,q4,11283
assam,785001,2018,q4,10937
assam,783380,2018,q4,10374
assam,781011,2018,q4,10054
assam,786001,2018,q4,9765
assam,781028,2018,q4,8801
assam,781019,2018,q4,8559
assam,781032,2019,q1,21003
assam,781022,2019,q1,16624
assam,781001,2019,q1,15399
assam,781038,2019,q1,13630
assam,785001,2019,q1,12724
assam,783380,2019,q1,12282
assam,781011,2019,q1,11982
assam,786001,2019,q1,11437
assam,781028,2019,q1,10474
assam,781019,2019,q1,10045
assam,781032,2019,q2,24543
assam,781022,2019,q2,19460
assam,781001,2019,q2,17922
assam,781038,2019,q2,15681
assam,783380,2019,q2,14452
assam,785001,2019,q2,14373
assam,781011,2019,q2,13970
assam,786001,2019,q2,13366
assam,781009,2019,q2,12874
assam,781028,2019,q2,12313
assam,781032,2019,q3,27912
assam,781022,2019,q3,22162
assam,781001,2019,q3,20205
assam,781038,2019,q3,17651
assam,783380,2019,q3,16289
assam,785001,2019,q3,16065
assam,781011,2019,q3,15923
assam,781009,2019,q3,15432
assam,786001,2019,q3,15231
assam,781028,2019,q3,13989
assam,781032,2019,q4,30419
assam,781022,2019,q4,24236
assam,781001,2019,q4,21980
assam,781038,2019,q4,19306
assam,783380,2019,q4,17946
assam,785001,2019,q4,17515
