state,pincode,year,quater,transaction_count,transaction_amount
andhra pradesh,516001,2022,q3,5350632,13517253500.100548
andhra pradesh,530026,2022,q4,10249750,23326515677.88234
andhra pradesh,517501,2022,q4,9601016,17160601029.470804
andhra pradesh,517507,2022,q4,8255182,15452889827.310287
andhra pradesh,530016,2022,q4,6770365,11575693176.866528
andhra pradesh,515001,2022,q4,6566772,12647557281.819908
andhra pradesh,522001,2022,q4,6419773,13879436431.018642
andhra pradesh,520010,2022,q4,5887349,11108836639.890686
andhra pradesh,518002,2022,q4,5810257,12488419884.161985
andhra pradesh,520002,2022,q4,5685286,14883019280.330643
andhra pradesh,516001,2022,q4,5545373,13027211098.677938
arunachal pradesh,791110,2018,q1,4253,8605127.65004581
arunachal pradesh,791111,2018,q1,4207,9841038.918801479
arunachal pradesh,791102,2018,q1,3286,5671981.37541513
arunachal pradesh,790116,2018,q1,2704,4457038.562331891
arunachal pradesh,790104,2018,q1,2114,4578762.301169472
arunachal pradesh,791109,2018,q1,2112,3137887.500695069
arunachal pradesh,792131,2018,q1,2097,3667031.7501450847
arunachal pradesh,791001,2018,q1,2041,5020173.997662732
arunachal pradesh,791113,2018,q1,1955,6492923.793813149
arunachal pradesh,792001,2018,q1,1865,2638135.148973316
arunachal pradesh,791110,2018,q2,7878,19894634.32236063
arunachal pradesh,791111,2018,q2,7239,20302894.32407169
arunachal pradesh,791102,2018,q2,6046,11116134.491696559
arunachal pradesh,790116,2018,q2,4689,11109804.760347228
arunachal pradesh,790104,2018,q2,4436,10757634.641186869
arunachal pradesh,792131,2018,q2,4342,9787595.363164986
arunachal pradesh,791113,2018,q2,4159,10355129.796387024
arunachal pradesh,792103,2018,q2,3885,10332844.690670341
arunachal pradesh,792102,2018,q2,3638,13733030.966675913
arunachal pradesh,791109,2018,q2,3486,8901023.6818946
arunachal pradesh,791110,2018,q3,13489,28577947.494984522
arunachal pradesh,791111,2018,q3,10508,33766761.060124576
arunachal pradesh,791102,2018,q3,9777,18868814.474471845
arunachal pradesh,791109,2018,q3,8636,14623073.028337255
arunachal pradesh,790116,2018,q3,6870,19935455.777625345
arunachal pradesh,792103,2018,q3,6672,16204421.801473193
arunachal pradesh,790104,2018,q3,6434,18213474.582743015
arunachal pradesh,792001,2018,q3,6307,16330131.581704907
arunachal pradesh,791113,2018,q3,6191,14657152.42532165
arunachal pradesh,792102,2018,q3,5120,16131802.077896373
arunachal pradesh,791110,2018,q4,18305,50770919.03443284
arunachal pradesh,791111,2018,q4,14891,50578761.54109968
arunachal pradesh,791102,2018,q4,11990,28553763.558065224
arunachal pradesh,790116,2018,q4,10791,42561249.91245334
arunachal pradesh,792103,2018,q4,8743,23841863.530102827
arunachal pradesh,790104,2018,q4,8727,28710303.165459957
arunachal pradesh,791113,2018,q4,8156,19785304.795617044
arunachal pradesh,791109,2018,q4,7660,17851253.026180793
arunachal pradesh,792001,2018,q4,7520,18988989.141452394
arunachal pradesh,792102,2018,q4,6597,21188725.096378893
arunachal pradesh,791110,2019,q1,21769,56305175.15742187
arunachal pradesh,791111,2019,q1,18706,57464660.98623066
arunachal pradesh,791102,2019,q1,14504,35128890.140528455
arunachal pradesh,790116,2019,q1,13724,44410163.52148189
arunachal pradesh,791109,2019,q1,11691,24669479.821121186
arunachal pradesh,791113,2019,q1,10893,28900698.04714023
arunachal pradesh,790104,2019,q1,10231,29899156.53443486
arunachal pradesh,792103,2019,q1,10190,28841570.71793741
arunachal pradesh,792001,2019,q1,9575,24797020.736688815
arunachal pradesh,790101,2019,q1,9149,26500818.398213305
arunachal pradesh,791110,2019,q2,28827,80501052.65730712
arunachal pradesh,791111,2019,q2,24040,77741634.13628484
arunachal pradesh,791102,2019,q2,14906,38658949.40199398
arunachal pradesh,790116,2019,q2,13929,48120977.088281885
arunachal pradesh,791113,2019,q2,12970,37636424.899820864
arunachal pradesh,790104,2019,q2,12562,43392107.208877556
arunachal pradesh,791109,2019,q2,12214,28228154.97606074
arunachal pradesh,792001,2019,q2,11232,29778429.81452021
arunachal pradesh,792103,2019,q2,11076,30442992.654754497
arunachal pradesh,790101,2019,q2,10926,36302058.29929494
arunachal pradesh,791110,2019,q3,38560,104152420.6903958
arunachal pradesh,791111,2019,q3,32844,92522169.403638
